iter	Passed	Remaining
0	145	39122
1	146	19597
2	147	13094
3	147	9838
4	148	7881
5	149	6577
6	150	5646
7	151	4946
8	151	4402
9	152	3968
10	153	3613
11	154	3319
12	155	3069
13	156	2854
14	156	2666
15	157	2502
16	158	2358
17	159	2232
18	160	2117
19	161	2012
20	161	1918
21	162	1833
22	163	1754
23	164	1683
24	165	1618
25	165	1556
26	166	1500
27	167	1447
28	168	1398
29	169	1352
30	169	1308
31	170	1268
32	171	1230
33	172	1194
34	172	1160
35	173	1129
36	174	1099
37	175	1070
38	176	1043
39	177	1018
40	177	993
41	178	970
42	179	947
43	180	926
44	181	905
45	181	885
46	182	867
47	183	849
48	184	831
49	185	814
50	185	798
51	186	782
52	187	767
53	188	753
54	189	739
55	189	725
56	190	712
57	191	700
58	192	688
59	193	676
60	194	665
61	195	654
62	195	643
63	196	632
64	197	622
65	198	612
66	198	602
67	199	593
68	200	584
69	201	575
70	202	566
71	203	558
72	203	550
73	204	542
74	205	534
75	206	526
76	207	519
77	208	512
78	208	504
79	209	498
80	210	491
81	211	484
82	212	477
83	212	471
84	213	464
85	214	458
86	215	452
87	215	446
88	216	440
89	217	434
90	218	429
91	218	423
92	219	418
93	220	413
94	221	407
95	222	402
96	223	397
97	223	393
98	224	388
99	225	383
100	226	378
101	227	373
102	227	369
103	228	364
104	229	360
105	230	356
106	231	352
107	232	348
108	232	343
109	233	339
110	234	335
111	235	331
112	236	328
113	236	324
114	237	320
115	238	317
116	239	313
117	240	309
118	241	306
119	242	302
120	243	299
121	243	295
122	244	292
123	245	288
124	246	285
125	247	282
126	247	279
127	248	276
128	249	272
129	250	269
130	251	266
131	252	263
132	252	260
133	253	257
134	254	254
135	255	251
136	256	248
137	257	245
138	257	243
139	258	240
140	259	237
141	260	234
142	261	231
143	261	229
144	262	226
145	263	223
146	264	221
147	265	218
148	266	216
149	266	213
150	267	210
151	268	208
152	269	205
153	269	203
154	270	200
155	271	198
156	272	196
157	273	193
158	274	191
159	274	189
160	275	186
161	276	184
162	277	181
163	277	179
164	278	177
165	279	175
166	280	172
167	281	170
168	281	168
169	282	166
170	283	164
171	284	161
172	285	159
173	285	157
174	286	155
175	287	153
176	288	151
177	289	149
178	289	147
179	290	145
180	291	143
181	292	141
182	293	139
183	293	137
184	294	135
185	295	133
186	296	131
187	297	129
188	297	127
189	298	125
190	299	123
191	299	121
192	300	119
193	301	118
194	302	116
195	302	114
196	303	112
197	303	110
198	305	108
199	305	107
200	306	105
201	307	103
202	308	101
203	309	99
204	309	98
205	310	96
206	311	94
207	311	92
208	312	91
209	312	89
210	313	87
211	314	86
212	315	84
213	316	82
214	317	81
215	317	79
216	318	77
217	318	76
218	319	74
219	320	72
220	320	71
221	321	69
222	321	67
223	322	66
224	322	64
225	323	63
226	324	61
227	325	59
228	325	58
229	326	56
230	326	55
231	327	53
232	328	52
233	328	50
234	329	49
235	329	47
236	330	46
237	331	44
238	331	43
239	332	41
240	332	40
241	333	38
242	333	37
243	334	35
244	335	34
245	335	32
246	336	31
247	337	29
248	338	28
249	338	27
250	339	25
251	340	24
252	341	22
253	342	21
254	342	20
255	343	18
256	344	17
257	345	16
258	346	14
259	347	13
260	347	11
261	348	10
262	349	9
263	350	7
264	351	6
265	352	5
266	353	3
267	353	2
268	354	1
269	355	0
